"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1",0.600641933444226,23.5510273099622,2.90212150914396,0.00420380017793911,0.045131956829406,-2.18461874504251
"2",0.651277390081514,23.3994968808219,2.99934018171778,0.00311738424185498,0.0371011377543286,-1.92401506644461
"3",0.673631090470774,23.2330514140898,2.87583434084148,0.0045520010092271,0.0472235868839312,-2.25375826938761
"4",0.72357742071063,23.0519136971486,2.85540936857481,0.00484053245595188,0.0493848879322617,-2.30708766239745
"5",0.777416273469129,22.8485700084762,2.76225494025423,0.0063799730888502,0.0590781396337031,-2.54594873082845
"6",0.770289794680242,22.6085439400447,2.33211041759006,0.0208813172477396,0.124163497513045,-3.5543388443346
"7",0.843279364391794,22.315282666942,2.11206521689017,0.0361597961465963,0.166080768556104,-4.00867748529958
"8",1.66855685962312,21.9551252161928,3.25274161334681,0.00138166750692091,0.0225593855628129,-1.20897506145518
"9",1.57040558029773,21.7233807439262,3.56908228459375,0.000467222393913568,0.0121323019817135,-0.245642147321775
"10",2.14805887518162,21.3205749699803,3.9309555535865,0.000123480621517389,0.00577447887629515,0.948878613127548
"11",2.2668132288269,20.9356461294666,3.6109368133909,0.00040252862986539,0.0109816434116124,-0.112452581833795
"12",1.90795132397027,20.585443762198,2.87796009761936,0.00452289294496983,0.0471619950727146,-2.2481882476529
"13",2.18043009118538,20.4188730876556,3.91690927410757,0.000130254993734354,0.00587545158705091,0.900725612880088
"14",1.55039320337971,20.1341707046676,2.28146076996427,0.0237767873016911,0.132710514407109,-3.66265906629482
"15",1.07055119235821,20.1749113057579,1.83106848128011,0.0688622354312768,0.235393073613417,-4.52673244422981
"16",0.117150104428955,20.1700669911223,0.185021315854058,0.853435543960487,0.91761883568014,-6.09962975303954
"17",0.29260761176646,20.4513082620707,0.544935288473521,0.586520864671411,0.747508605219886,-5.97392631293305
"18",0.513925719200611,20.7064291371306,1.10207371077964,0.272006334296992,0.494927523844316,-5.53648796892895
"19",0.204531103570499,20.8421241264951,0.402223912079615,0.688030651409884,0.815776680759814,-6.0385750935546
"20",0.483644004474538,20.9543967705045,0.857801363007161,0.392224541355348,0.603232052132789,-5.76440043191219
"21",0.565677862524044,21.1644149595185,1.04850519175587,0.295912318691258,0.519881821772435,-5.59127031630942
"22",0.709916617593105,21.3756726406329,1.5562028048035,0.121542137891759,0.316656020176747,-4.96477145565489
"23",0.55409894757209,21.5264732142957,1.24819015325738,0.213698622553441,0.432475562109921,-5.37341773257515
"24",0.662473019526036,21.7091977976496,1.70682695591285,0.0897022589987707,0.270138866002131,-4.73322225930657
"25",0.666392810136021,21.8061711962134,1.58979613837666,0.113761289588525,0.30550326792475,-4.9149227283888
"26",0.86207335143601,21.8908884592556,1.9849534479928,0.0487778105514439,0.194322321979666,-4.25173441761389
"27",0.818211314007488,21.9723184719873,2.39555845581855,0.0176948133728728,0.111429500429172,-3.41551627474257
"28",0.886066330054764,21.9961095034245,2.44039191442203,0.0157102883547109,0.10426358422322,-3.31533169340967
"29",0.961250218616243,22.0109477236407,2.53375403970988,0.0121998820547442,0.0893586943024212,-3.10118367876667
"30",1.06225223183193,22.0060199193359,2.56643344741721,0.0111480008590815,0.0840204406246929,-3.02447229484298
"31",1.06803976556777,21.9970210626736,2.58303595516709,0.01064537454514,0.0814319201008448,-2.98515294178491
"32",1.10855822387865,21.9739938864886,2.80789412611044,0.00557743190571429,0.0535445884845912,-2.42982004333559
"33",1.14039109371916,21.9383347347942,3.03132954925531,0.00282075156043995,0.0355118035281459,-1.8365864481295
"34",1.22511370581373,21.881933137927,3.31141646176975,0.00113640873998662,0.0201583945420261,-1.03615099430948
"35",1.32704930959341,21.793588178942,3.51870115923115,0.000558073634033456,0.0134388429483415,-0.404208581056388
"36",1.44408679457779,21.6811828954944,3.63842797497851,0.000364735486779469,0.0104464605698532,-0.0242533756146379
"37",1.76003019100378,21.5031068680698,3.74691595999423,0.000245845413262326,0.00813811826118289,0.329308270640019
"38",1.84046465966296,21.3170996754844,3.39781214259087,0.000848224539391011,0.0170595260566388,-0.776787945555333
"39",2.32109221543856,21.1150239955859,3.96927310432465,0.000106663018252858,0.00540906988445819,1.08095764228553
"40",2.12164607654414,20.9934332443818,4.33746984401476,2.47971123900774e-05,0.00248576634784717,2.40271842495457
"41",2.14276756446804,20.7296581952963,3.68915260210548,0.000303627565519727,0.00915235399421527,0.139968873537852
"42",2.10523723573526,20.5467182750569,3.96055171934711,0.000110287410805287,0.00549588305521605,1.0508029526292
"43",2.58866755743131,20.2182220447382,4.28049360867547,3.12671688897655e-05,0.00286759854253903,2.19206262604251
"44",2.47062379339464,20.0088986458587,4.12778730021862,5.75725034234933e-05,0.00400268187108013,1.63843071985134
"45",1.65149405317015,19.8010233531557,2.65766768946285,0.00862813587792288,0.0713849898306844,-2.80553002372183
"46",0.706943253007616,19.7701555235681,1.22271653704674,0.223149703174812,0.443163692944035,-5.40328042686818
"47",0.404583361197933,19.6963513649766,0.649207485330482,0.517091039166546,0.698283497596302,-5.91442146396441
"48",-0.445651252345598,19.9682522169776,-0.842257313169448,0.400841644844841,0.609883448935343,-5.777000536997
"49",-0.529095973316021,20.28009943961,-1.15760407106181,0.248669177681605,0.470849325893502,-5.47686290692676
"50",-0.509843121618054,20.6235800979385,-1.34862749466966,0.179272264261078,0.390578526089635,-5.2497990231828
"51",-0.379940146104062,20.8550241029309,-1.00319247979923,0.317211080929517,0.539383970156482,-5.63550768168357
"52",-0.685873275529701,21.0588675123334,-2.0363426413073,0.0432864704667865,0.182391330349055,-4.15519434340956
