""number"",""logFC"",""AveExpr"",""t"",""P.Value"",""adj.P.Val"",""B""
1,-0.534345070715181,-0.433315300513476,-0.544694754405948,0.586481735071052,0.8035137993942,-5.86050841724784
2,0.0472620134777073,-0.530158077042101,0.0514002564343869,0.95905039205631,0.986579059199434,-5.9991835136658
3,0.0568471377516044,-0.398782835213897,0.0662158854685991,0.947262438464916,0.980563943716139,-5.99836117460625
4,-0.0883718251857173,-0.310671942912121,-0.116707731066883,0.907191679173591,0.964026579964871,-5.99400260357901
5,0.082043030914767,-0.405440439712571,0.111878711410079,0.911015402136648,0.96514511541405,-5.99452350381184
6,-0.164296957475184,-0.455318525776317,-0.286961393718219,0.77439559569815,0.902393954301574,-5.96157622280005
7,0.638367908720195,-0.646449182717508,1.37849408023318,0.169366119072478,0.44102972414382,-5.10749737697719
8,0.345186235766652,-0.358040210099441,0.585318371010907,0.55889719389723,0.78693116050106,-5.83887600817678
9,0.866204947733658,-0.126037344316469,1.93297955384624,0.0544443198071102,0.255378258267338,-4.25188844159153
10,0.765856370875894,-0.197831869001547,2.07715634962512,0.0388774588044726,0.216734255257767,-3.98392510410107
11,0.675400858009828,-0.129928350342259,1.92668984690316,0.0552283492303704,0.257095428957811,-4.26315481810953
12,0.489462831655143,-0.0621632396570934,1.38034607438704,0.168796163793584,0.440106740112124,-5.10510675713143
13,0.314217372569993,-0.0958955010841248,0.684424208054849,0.494384039110033,0.742351979450513,-5.77959860483078
14,0.136124042445418,-0.158826319923375,0.325354809888524,0.74520302326701,0.887647086635614,-5.95048655975634
15,-0.695854041159229,-0.124283874206481,-1.57419244831035,0.116792826544342,0.369243693905975,-4.83748056965983
16,-0.660740051690438,-0.174584423429349,-1.4787297592548,0.140556229243549,0.401631085524253,-4.97358006496915
17,-0.172476257962517,-0.273799806707141,-0.385942651126418,0.699889492482609,0.867758250097817,-5.93016031553086
18,-0.365900129201033,-0.316228764598675,-0.662825093697385,0.508094369421097,0.752745348263287,-5.79330310588399
19,0.239022892369338,-0.217709638514182,0.611592104913502,0.541400867082822,0.774637691861981,-5.82405934703964
20,0.102357884092321,-0.218869165588596,0.261755775697072,0.793739795449728,0.912857245254711,-5.96810104124941
21,-0.10195104729715,-0.30350208001512,-0.212960125792452,0.831543313852727,0.932376444097719,-5.97902987383139
22,-0.438219034101294,-0.407897898465165,-0.974677022643738,0.330726115799351,0.616570468078815,-5.55306740437187
