"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1490",-0.0355024909619442,-0.0575395832861478,-0.100647093710179,0.919916716311541,0.97143156270546,-6.01805702553197
"1491",-0.186748154767269,-0.101408495059997,-0.501605175583321,0.6164164628433,0.833846744587723,-5.90384569976345
"1492",0.190674409702981,-0.257777544372515,0.457150852700859,0.64798636947254,0.852629276378536,-5.92399495438467
"1493",0.363978352256258,-0.366568966873413,0.850547174047768,0.39588965677216,0.681687988614141,-5.68104722258692
"1494",0.245389141233033,-0.292447589119329,0.540146608049968,0.589609175295852,0.820957422257848,-5.88486781057143
"1495",0.367111796910549,-0.308058712618308,0.785597281840623,0.432897490418304,0.711200531759336,-5.73118622481273
"1496",0.240518619429097,-0.393022440655841,0.590756836479599,0.555253007746142,0.799615407631172,-5.85782048965865
"1497",0.393842450040295,-0.518670235403858,0.938699020906259,0.348852353421251,0.642027723216487,-5.60667357922137
"1498",0.831951166850829,-0.594786326516448,1.64312013892816,0.101699897924019,0.365237892714249,-4.75288524712453
"1499",-0.335218920902337,-0.582116829249141,-0.800485595873039,0.424240755034925,0.705320730185477,-5.72004256547839
"1500",0.303442926779428,-0.551424169775833,0.796265180099685,0.426684292870095,0.707062753549598,-5.72322260339897
"1501",0.490865748548407,-0.47684159154417,1.20642038012012,0.228872660649187,0.538391519669707,-5.33631675106151
"1502",0.19142798857307,-0.487122647587697,0.427147409278981,0.669664389164603,0.861733691330391,-5.9365400650145
"1503",-0.0453549394653145,-0.454885764980501,-0.102861745843879,0.918160718281295,0.971281182390188,-6.01784374226999
"1504",0.193382592716228,-0.463235298108963,0.441265590230318,0.659427827392051,0.85837249841299,-5.93074279317206
"1505",0.134378685366158,-0.426965768134658,0.298816211118757,0.765345249802752,0.90811804002287,-5.98060255342866
"1506",0.160495073231001,-0.413158602270518,0.348653346364727,0.727662792467847,0.891266043391275,-5.96533905763037
"1507",0.630757344678213,-0.443711109808217,1.26338776428365,0.207706054674989,0.51504881740887,-5.27018730601856
"1508",0.390811584306386,-0.539828272452075,0.739198433353862,0.460526718022594,0.732621343970664,-5.76458015966478
"1509",-0.264599212095965,-0.512007720884906,-0.591920317355465,0.554474906634327,0.799366826161572,-5.85717031731374
"1510",0.0559486568856099,-0.4476683319616,0.133044260748674,0.894272617589133,0.961602669831142,-6.01447432360758
"1511",-0.09927247089589,-0.09923213629824,-0.192798000108775,0.847284250886119,0.943593943958523,-6.00526119818888
"1512",-0.12572241663127,0.219206788482942,-0.254273076277159,0.799507703964913,0.922228816842464,-5.99225758320136
"1513",0.34480028600696,0.273896999305453,0.844707404619767,0.39913627692472,0.684955482058956,-5.68571717012318
"1514",0.634044156004143,0.190511246968073,1.48338171736213,0.139317469655961,0.425189974461874,-4.98664807684968
"1515",0.287674541941572,0.111892347819089,0.676769770805819,0.499219904472119,0.761553031781742,-5.80631915261047
"1516",-0.121654563103548,0.0554670394770742,-0.27356055609764,0.784663442299732,0.917642798083282,-5.98744116626153
"1517",-0.568238385487246,-0.121931486547079,-1.31718994341801,0.189062199690253,0.49195213517449,-5.20497195177679
"1518",0.313244240800521,-0.276184074081955,0.811567959086143,0.417863616748808,0.700670067648119,-5.71161256287358
"1519",0.723535075272759,-0.377075940732404,2.06193968427212,0.0403170134990293,0.235319565504642,-4.02987633904493
"1520",0.96644331576667,-0.450837873728012,2.73132445610139,0.00678823997328767,0.101693424323074,-2.55058791911322
"1521",0.226656657598886,-0.326560881384163,0.65780395140054,0.511310127553674,0.769556591837162,-5.81827361054108
"1522",-0.163421532722334,-0.296549978888458,-0.484356734378358,0.628585355601517,0.841010235167546,-5.91188506529596
"1523",-0.253801996965901,-0.305900864133378,-0.861282470144312,0.389963404537799,0.676680402957793,-5.67237903499725
"1524",-0.330818221183884,-0.317473597210021,-0.979931191143973,0.328131243047191,0.625816188321652,-5.56939034424211
"1525",-0.575378361628015,-0.310970303769737,-1.48482187430009,0.138935693071123,0.425189974461874,-4.98464502736114
"1526",-0.547345859043068,-0.372398915416833,-1.49519433223428,0.136209926781311,0.420270244906737,-4.9701621688439
"1527",-0.53294192733397,-0.366411651367771,-1.32745927025178,0.185649296885495,0.487294039859153,-5.19221985963492
"1528",0.35712935708976,-0.24601478892864,0.83647424007888,0.403740804317732,0.689063774630263,-5.69224676176789
"1529",0.147993347387666,-0.0581049453995965,0.420010859748984,0.674862580128744,0.864482603014837,-5.93939890192257
"1530",-0.0341094262670402,-0.0623221060663822,-0.0840102889995337,0.933120015044974,0.975719957451106,-6.01951083678347
"1531",-0.609116758805371,-0.170184326512876,-1.09896373985556,0.272912301226052,0.576907397682562,-5.45285289179358
"1532",-0.791558184124435,-0.307014607434839,-2.01924397516167,0.04460127433667,0.24673511863489,-4.11081576991853
"1533",-0.559681744191187,-0.29146439753076,-2.00617157074641,0.0459879553955656,0.249874429231323,-4.13527116950173
"1534",-0.535215954478112,-0.344869543885299,-2.29309209701473,0.0227297346700979,0.177424271222542,-3.56349322596387
"1535",0.00644812918792914,-0.274769004685024,0.0253867218626243,0.979768119272549,0.992444488729145,-6.0225458349152
"1536",0.388937661160784,-0.068841283068998,1.23567696407765,0.217816656425246,0.525491100205706,-5.30273066102207
"1537",0.370289962244149,0.256435600721011,0.929322488661162,0.353678817432342,0.645856761309294,-5.61493024364094
"1538",0.370731127084144,0.476062381115901,0.902430981501543,0.367755133783172,0.656970676444723,-5.63815375708059
"1539",0.11923656536708,0.552475768487601,0.30017114113603,0.764312877003696,0.908032579431417,-5.98021862794978
"1540",-0.356244862148594,0.343500579477142,-0.776561860049359,0.438200877591251,0.715681008499119,-5.73784764817987
"1541",0.646623363486038,-0.228326280424469,1.22998010991123,0.219938624197388,0.527754647976569,-5.30933280046366
"1542",0.554715025140527,-0.551438807974089,1.33843063803741,0.182053962843837,0.481821981564573,-5.17848831289695
"1543",-0.634749453523191,-0.528041082772641,-1.77134917861936,0.0778031137469071,0.324317722937252,-4.54837841027676
"1544",-0.812556939176256,-0.348469696737155,-2.18508030755156,0.0298745541641119,0.204190206715343,-3.78732495899033
"1545",-0.277703384734363,-0.323735712725012,-0.760838490868652,0.44751887117791,0.723081389797175,-5.74925706295636
"1546",-0.781794736853424,-0.465806872983773,-2.31204236500321,0.0216437566018113,0.173714847954146,-3.52316038454525
