"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"5098",-0.421861788370649,23.8072941859502,-3.66161167160012,0.000335491363990131,0.00649948550327847,-0.0302961051892012
"5099",-0.411006658300185,23.7825244214481,-3.52505107252732,0.000545770962273827,0.00904825281877435,-0.472147573413128
"5100",-0.395135262561055,23.7574078626044,-3.36707631127393,0.000941846994647011,0.01315990752164,-0.965261182514524
"5101",-0.373045040296958,23.731003367592,-3.18042102463683,0.00175163644020332,0.020324169247635,-1.52247430218162
"5102",-0.354774053217898,23.7042839895865,-3.00475863444218,0.00306520173310708,0.0302693060035695,-2.02118777973857
"5103",-0.338149627382151,23.6759379593329,-2.82779060621745,0.00525724731111446,0.0448296034313727,-2.49790858061756
"5104",-0.328576236474643,23.6482848195263,-2.73270488419253,0.00695409163077755,0.0544021995906835,-2.74322764181223
"5105",-0.338437958964569,23.6181588418358,-2.78427483537383,0.00598051552207864,0.0490095288173384,-2.61112458009591
"5106",-0.346057045980466,23.5899473762098,-2.7968916114672,0.00576201812923106,0.0477638060500971,-2.57846324625033
"5107",-0.318750069832898,23.5655184302607,-2.54384617777165,0.0118659386192926,0.0778402394044275,-3.207685015725
"5108",-0.270434901307052,23.5449429775642,-2.1472847567965,0.0332048034399663,0.150980279776345,-4.08213410365269
"5109",-0.242066012970085,23.5266041423539,-1.9409789405101,0.0539348515090288,0.204880841200988,-4.48180992191591
"5110",-0.219842499850319,23.508883987886,-1.7787761086811,0.0770852923978285,0.252761355606925,-4.7689682334657
"5111",-0.20188255599605,23.4921445027015,-1.63432397803553,0.104063771110603,0.299443707611365,-5.00439726923477
"5112",-0.185828466679517,23.4766078721305,-1.49151309974084,0.13770261537276,0.351952044805384,-5.21816927178464
"5113",-0.187262309087998,23.4599023109839,-1.48733875524015,0.138800279184656,0.352677812186018,-5.22413227605182
"5114",-0.20096593190976,23.441412914583,-1.57275785458919,0.117656737419056,0.321190225867536,-5.09887879925645
"5115",-0.226100301275125,23.4228549240519,-1.73824234639748,0.0840007474664435,0.263334706875712,-4.83696965335912
"5116",-0.25285018353761,23.4027136497773,-1.90366567876302,0.0586638398109018,0.215500887473602,-4.54999125380092
"5117",-0.251518863166872,23.3842035137427,-1.82001685383543,0.0705367084884465,0.240297179815385,-4.69823427923045
"5118",-0.221529931797299,23.3730932088896,-1.53047590292061,0.127780215320845,0.3365698858176,-5.16172767469335
"5119",-0.179486950216262,23.3648240590941,-1.21765027897842,0.225064797474577,0.467230413030264,-5.57475208612715
"5120",-0.156208212616896,23.3590443221799,-1.06915089651591,0.2865358084889,0.533180488880381,-5.73850036611366
"5121",-0.149237395744791,23.3487857403659,-1.02033952476648,0.309034888272269,0.554880346917331,-5.78774636503214
"5122",-0.152728075358159,23.3357325841101,-1.02822596480835,0.305322016289977,0.552016358304361,-5.77994349466022
"5123",-0.157151892770628,23.3173633890462,-1.02017464015156,0.309112834628225,0.554880346917331,-5.78790886945581
"5124",-0.176301733067184,23.2932073234133,-1.09990597986666,0.272947056817088,0.518984688314979,-5.70630647780883
"5125",-0.210876586434942,23.2636824506311,-1.26162139920133,0.208834353924993,0.446776425874901,-5.52225675949646
"5126",-0.256475668183217,23.2357220864039,-1.49044008566388,0.137984122729356,0.352358152265929,-5.21970361311283
"5127",-0.282595100986097,23.2166378596905,-1.56232533345848,0.120093571849517,0.325063322736166,-5.11454041304808
"5128",-0.27063082799377,23.1945386466248,-1.35686281588478,0.176645571597955,0.407705280354592,-5.40229843346254
"5129",-0.270426192032694,23.1554945009223,-1.16530945670901,0.24554602127032,0.492176761072177,-5.6348550572603
"5130",-0.385505676616656,23.088997763704,-1.09446473826261,0.275318255966417,0.521454829762483,-5.71206778326229
"5131",-0.34202204537959,23.0714150790369,-1.13936609401952,0.256172806675476,0.503122239790753,-5.66368337933533
"5132",-0.333404984275038,23.0497819501259,-1.08593478955755,0.279063936993479,0.525056787608202,-5.72104281347055
"5133",-0.397343299669789,23.0174516166212,-1.05709980817029,0.291984077054867,0.538524534112988,-5.75086977328206
"5134",-0.295350571632731,23.0163157540809,-1.00354895634586,0.317039659192594,0.561356468892351,-5.80416141131851
"5135",-0.275526996181487,22.9967885367268,-0.950284394249212,0.343333162405847,0.58437812302089,-5.85445347447829
